Date;;Returns
20081020;78,730;3,431813156
20081021;81,478;-3,259547825
20081022;78,865;-7,751196739
20081023;72,983;2,146663234
20081024;74,567;-6,050137395
20081027;70,189;-1,036782331
20081028;69,465;-1,840643584
20081029;68,198;8,242576995
20081030;74,058;-2,725048632
20081031;72,067;2,495673197
20081103;73,888;-7,698553623
20081104;68,413;9,398655287
20081105;75,155;-7,12638752
20081106;69,986;-7,446859467
20081107;64,963;-0,13939713
20081110;64,873;2,971961409
20081111;66,830;-5,873279363
20081112;63,018;-5,755574257
20081113;59,493;3,106064067
20081114;61,370;-3,620960387
20081117;59,187;-3,623108625
20081118;57,081;-0,902550534
20081119;56,569;-0,231749814
20081120;56,438;-7,297826368
20081121;52,466;2,282406058
20081124;53,677;9,199655854
20081125;58,849;-6,868829018
20081126;54,943;6,850284744
20081127;58,838;-1,475972614
20081128;57,976;0,675298008
20081201;58,369;-10,8918905
20081202;52,346;-5,41830411
20081203;49,585;0
20081204;49,585;-7,207861341
20081205;46,137;-6,195592388
20081208;43,365;8,856192733
20081209;47,381;-4,450410681
20081210;45,318;2,222563145
20081211;46,337;10,52717018
20081212;51,481;-1,937106576
20081215;50,493;-4,032972233
20081216;48,497;-1,044897021
20081217;47,993;-2,430147795
20081218;46,841;-4,883409222
20081219;44,608;1,465227679
20081222;45,267;-5,970175234
20081223;42,643;-2,66486861
20081224;41,522;-9,751776835
20081226;37,664;4,695447713
20081229;39,475;5,52598763
20081230;41,717;-0,991334017
20081231;41,306;12,70659538
20090102;46,902;2,854247812
20090105;48,260;5,616310592
20090106;51,048;1,817324104
20090107;51,985;-9,697394187
20090108;47,180;-2,629114207
20090109;45,956;-0,56123169
20090112;45,699;-3,458491946
20090113;44,145;4,377265916
20090114;46,121;0,378708637
20090115;46,296;0,12591817
20090116;46,354;-2,355546576
20090119;45,275;-4,546736782
20090120;43,262;-1,99734284
20090121;42,407;3,159107471
20090122;43,768;0,818498099
20090123;44,128;6,358797037
20090126;47,025;-2,958361132
20090127;45,654;-7,12618101
20090128;42,514;2,640342932
20090129;43,651;1,10743103
20090130;44,137;1,051718721
20090202;44,604;-4,593895809
20090203;42,601;0,591583068
20090204;42,854;0,158676221
20090205;42,922;5,099880029
20090206;45,168;-0,539550246
20090209;44,925;-0,412014027
20090210;44,740;-3,111803547
20090211;43,369;-1,162676254
20090212;42,868;1,554492167
20090213;43,540;-2,686202903
20090216;42,386;-3,474069426
20090217;40,938;-5,338712808
20090218;38,810;-3,673781224
20090219;37,410;5,986580048
20090220;39,718;-0,238435974
20090223;39,624;-2,171900044
20090224;38,772;3,617594141
20090225;40,201;4,1254842
20090226;41,894;4,89084253
20090227;43,994;-0,344605122
20090302;43,842;-9,356413222
20090303;39,926;3,469094231
20090304;41,336;5,38985933
20090305;43,625;-5,527253444
20090306;41,279;2,734942754
20090309;42,423;-1,618376522
20090310;41,742;-0,385969375
20090311;41,582;-5,99992487
20090312;39,160;8,229994307
20090313;42,519;-0,695050583
20090316;42,225;1,256243508
20090317;42,759;3,759682508
20090318;44,397;-1,209608075
20090319;43,863;6,124154782
20090320;46,633;1,079606128
20090323;47,139;4,299066819
20090324;49,210;0,056090494
20090325;49,238;-3,325722176
20090326;47,627;3,250927857
20090327;49,201;-2,80746815
20090330;47,839;-7,986637334
20090331;44,167;2,55105379
20090401;45,308;-1,617727509
20090402;44,581;8,523785367
20090403;48,547;1,35569766
20090406;49,210;-2,327226399
20090407;48,078;-1,97184042
20090408;47,139;0,719777449
20090409;47,480;4,676668559
20090413;49,753;-3,616213234
20090414;47,986;-0,34582167
20090415;47,820;-0,930062697
20090416;47,378;1,175368981
20090417;47,938;0,545062904
20090420;48,200;-6,765489965
20090421;45,047;-0,080256826
20090422;45,011;-0,020074275
20090423;45,002;0,600482189
20090424;45,273;3,065675333
20090427;46,682;-2,647472991
20090428;45,462;-0,657962697
20090429;45,164;1,567959085
20090430;45,878;0,039377831
20090501;45,896;3,956135773
20090504;47,748;3,220980296
20090505;49,311;-0,846371198
20090506;48,895;3,682287788
20090507;50,730;0,56828425
20090508;51,019;2,914437145
20090511;52,527;-1,141683392
20090512;51,931;0,797093113
20090513;52,347;-1,078131432
20090514;51,785;0,805419485
20090515;52,204;-4,556954947
20090518;49,879;4,35193181
20090519;52,097;0,766678941
20090520;52,498;2,794927136
20090521;53,986;-1,095264849
20090522;53,398;1,408357302
20090525;54,155;-0,942233601
20090526;53,648;1,696211931
20090527;54,565;2,036598595
20090528;55,688;2,979178481
20090529;57,372;1,739709799
20090601;58,379;3,671099181
20090602;60,562;0,293815402
20090603;60,740;-3,416968007
20090604;58,700;4,205984373
20090605;61,221;-0,539950236
20090608;60,891;-0,675380632
20090609;60,482;2,531044202
20090610;62,032;1,622610556
20090611;63,047;1,527807495
20090612;64,017;-1,039150328
20090615;63,356;-2,196652673
20090616;61,979;0
20090617;61,979;0,864701681
20090618;62,517;0,295962446
20090619;62,703;-2,666824708
20090622;61,053;-3,246227614
20090623;59,102;2,680967757
20090624;60,708;-0,685483615
20090625;60,294;2,099852697
20090626;61,573;-1,24010241
20090629;60,814;2,959261039
20090630;62,641;-2,409411586
20090701;61,150;-0,738652066
20090702;60,700;-3,160333891
20090703;58,811;-1,572692327
20090706;57,894;-2,406409501
20090707;56,517;-1,288515627
20090708;55,793;-4,52932017
20090709;53,323;1,10261958
20090710;53,914;-0,953797726
20090713;53,402;0,280505093
20090714;53,552;0,279720462
20090715;53,702;4,294299751
20090716;56,059;0,36143671
20090717;56,262;2,524721726
20090720;57,700;1,608288345
20090721;58,636;0,645115132
20090722;59,015;0,507160992
20090723;59,315;2,990109909
20090724;61,116;1,533310831
20090727;62,060;0,694398029
20090728;62,492;-1,32207484
20090729;61,672;-4,912651151
20090730;58,715;5,241246347
20090731;61,874;2,242531039
20090803;63,278;2,547469944
20090804;64,910;0,987628944
20090805;65,555;1,642336133
20090806;66,640;-0,904622372
20090807;66,040;-1,670972715
20090810;64,946;-0,122374072
20090811;64,866;-1,425072075
20090812;63,948;0,614882036
20090813;64,343;0,719378739
20090814;64,807;-3,439601694
20090817;62,616;-1,267801176
20090818;61,827;2,561192407
20090819;63,431;3,021460109
20090820;65,377;-1,703664786
20090821;64,273;1,16595681
20090824;65,027;0,094307855
20090825;65,088;-3,340945995
20090826;62,949;-0,236983452
20090827;62,800;1,193132911
20090828;63,554;0,385409975
20090831;63,799;-4,40958829
20090901;61,047;-2,7953487
20090902;59,364;-0,103404987
20090903;59,303;-0,801310119
20090904;58,830;-0,447962523
20090907;58,567;-0,434946317
20090908;58,313;4,252203668
20090909;60,846;0,625268486
20090910;61,227;0,084961772
20090911;61,279;-3,090436386
20090914;59,415;-0,189961334
20090915;59,302;2,155910745
20090916;60,594;2,557901063
20090917;62,164;-0,1675744
20090918;62,060;-0,321971301
20090921;61,860;-3,757316477
20090922;59,579;2,643452299
20090923;61,175;-3,667751568
20090924;58,972;-4,774643782
20090925;56,223;0,446394954
20090928;56,474;0,658249602
20090929;56,847;-0,076318404
20090930;56,804;5,322302387
20091001;59,909;0,173586041
20091002;60,013;-1,631975605
20091005;59,042;-0,044081993
20091006;59,016;0,761350676
20091007;59,467;-2,003602676
20091008;58,287;3,753087042
20091009;60,516;0,32911241
20091012;60,716;1,924224622
20091013;61,895;1,446881112
20091014;62,797;1,198434608
