Date;Prices;Returns
20081022;24,304;-6,563716364
20081023;24,658;1,446770059
20081024;23,375;-5,34070463
20081027;21,824;-6,865705685
20081028;21,531;-1,352133276
20081029;22,533;4,546237408
20081030;22,130;-1,804806987
20081031;21,910;-0,998344398
20081103;22,289;1,71322234
20081104;23,131;3,711100773
20081105;22,643;-2,134552762
20081106;22,227;-1,850896605
20081107;22,826;2,656702738
20081110;22,606;-0,967749488
20081111;21,910;-3,127826995
20081112;21,922;0,05572583
20081113;21,922;0
20081114;21,287;-2,93972554
20081117;20,799;-2,321636486
20081118;20,212;-2,859039285
20081119;19,944;-1,338219484
20081120;18,222;-9,030131221
20081121;18,356;0,734560899
20081124;19,370;5,375201244
20081125;19,247;-0,632513178
20081126;19,089;-0,828294
20081127;19,919;4,25862722
20081128;18,954;-4,964890188
20081201;18,967;0,064412241
20081202;18,759;-1,100690944
20081203;18,588;-0,915637529
20081204;18,099;-2,663273257
20081205;16,756;-7,712299757
20081208;17,620;5,02481802
20081209;17,386;-1,333353087
20081210;17,550;0,935210557
20081211;18,250;3,91184166
20081212;18,180;-0,384369467
20081215;18,611;2,347078879
20081216;18,588;-0,125470531
20081217;18,611;0,125470531
20081218;18,355;-1,388911216
20081219;18,366;0,063552592
20081222;18,751;2,074893676
20081223;18,448;-1,631152853
20081224;18,378;-0,380228595
20081229;18,448;0,380228595
20081230;18,693;1,319529042
20081231;18,553;-0,751883241
20090102;18,145;-2,22584706
20090105;17,946;-1,099267455
20090106;18,308;1,995560267
20090107;18,028;-1,54145634
20090108;17,223;-4,568818417
20090109;16,849;-2,191868571
20090112;16,266;-3,523972813
20090113;16,079;-1,154413975
20090114;15,496;-3,695912154
20090115;15,461;-0,226159162
20090116;14,702;-5,030073847
20090119;13,571;-8,010884743
20090120;13,431;-1,03717438
20090121;13,419;-0,086918736
20090122;13,652;1,724180643
20090123;13,617;-0,256739551
20090126;14,131;3,701011127
20090127;13,897;-1,66531742
20090128;13,699;-1,437656897
20090129;13,862;1,185449953
20090130;13,827;-0,252844635
