Country_Birth,Age_Group,Gender,Service_Usage,Usage_Frequency,EE_1,EE_2,EE_3,EE_4,SI_1,SI_2,SI_3,SI_4,HM_1,HM_2,HM_3,PV_1,PV_2,PV_3,PR_1,PR_2,PR_3,PR_4,BI1_1,BI1_2,BI1_3,BI2_1,BI2_2,BI2_3,BI2_4,Age_Generations,AgeGen_Dummy_1,AgeGen_Dummy_2,AgeGen_Dummy_3,AgeGen_Dummy_4,ServiceUsage_Dummy_1,ServiceUsage_Dummy_2,ServiceUsage_Dummy_3,ServiceUsage_Dummy_4,ServiceUsage_Dummy_5,Usage_Category,Gender_Dummy_1,Gender_Dummy_2,REE_3,normalized
Sweden,3,2,4,5,7,6,6,6,5,7,5,4,4,4,3,7,7,7,5,5,5,6,7,7,7,7,6,6,6,3,0,0,1,0,0,0,0,1,0,3,0,1,.294871794871795,5.83883115791981
Poland,3,2,5,5,7,6,6,6,5,7,6,5,4,4,3,6,7,7,5,5,5,5,6,6,6,7,6,7,7,3,0,0,1,0,0,0,0,0,1,3,0,1,.294871794871795,5.83883115791981
Norway,2,1,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,6,6,6,6,7,7,7,7,2,0,1,0,0,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Estonia,2,1,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,5,4,5,5,7,7,7,7,2,0,1,0,0,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Sweden,4,2,4,5,6,7,6,7,5,6,6,5,5,6,6,7,6,6,5,5,6,6,5,6,6,6,6,6,6,4,0,0,0,1,0,0,0,1,0,3,0,1,.294871794871795,5.83883115791981
Norway,2,2,2,4,7,7,7,7,6,7,6,6,6,6,6,7,7,6,6,6,6,5,6,6,6,6,6,7,7,2,0,1,0,0,0,1,0,0,0,2,0,1,.720512820512821,6.90397859816284
Norway,4,1,5,4,7,7,7,7,5,7,5,5,5,5,6,6,7,7,5,5,5,5,6,6,6,6,6,7,7,4,0,0,0,1,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Norway,2,1,4,5,7,6,6,6,6,7,6,6,5,5,6,7,7,7,5,5,6,6,7,7,7,6,6,7,7,2,0,1,0,0,0,0,0,1,0,3,1,0,.294871794871795,5.83883115791981
Norway,2,1,4,5,6,7,7,7,5,7,5,5,5,5,4,5,5,5,5,5,6,6,5,6,6,6,6,7,7,2,0,1,0,0,0,0,0,1,0,3,1,0,.720512820512821,6.90397859816284
Norway,2,1,5,5,7,7,7,7,6,7,5,5,5,5,5,7,7,7,5,5,5,5,6,6,6,6,6,7,7,2,0,1,0,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
