Date;Brent 1M
20090724;61,116
20090727;62,06
20090728;62,492
20090729;61,672
20090730;58,715
20090731;61,874
20090803;63,278
20090804;64,91
20090805;65,555
20090806;66,64
20090807;66,04
20090810;64,946
20090811;64,866
20090812;63,948
20090813;64,343
20090814;64,807
20090817;62,616
20090818;61,827
20090819;63,431
20090820;65,377
20090821;64,273
20090824;65,027
20090825;65,088
20090826;62,949
20090827;62,8
20090828;63,554
20090831;63,799
20090901;61,047
20090902;59,364
20090903;59,303
20090904;58,83
20090907;58,567
20090908;58,313
20090909;60,846
20090910;61,227
20090911;61,279
20090914;59,415
20090915;59,302
20090916;60,594
20090917;62,164
20090918;62,06
20090921;61,86
20090922;59,579
20090923;61,175
20090924;58,972
20090925;56,223
20090928;56,474
20090929;56,847
20090930;56,804
20091001;59,909
20091002;60,013
20091005;59,042
20091006;59,016
20091007;59,467
20091008;58,287
20091009;60,516
20091012;60,716
20091013;61,895
20091014;62,797
20091015;63,554
20091016;65,585
20091019;66,239
20091020;66,91
20091021;66,454
20091022;68,562
20091023;68,407
20091026;67,899
20091027;66,471
20091028;67,039
20091029;65,266
20091030;67,142
20091102;64,699
20091103;65,86
20091104;67,202
20091105;67,873
20091106;67,099
20091109;65,275
20091110;66,91
20091111;66,677
20091112;67,035
20091113;65,391
20091116;64,999
20091117;67,086
20091118;67,265
20091119;67,691
20091120;66,132
20091123;65,758
20091124;65,979
20091125;65,127
20091126;66,814
20091127;65,579
20091130;65,74
20091201;66,839
20091202;67,589
20091203;66,337
20091204;66,746
20091207;66,03
20091208;65,102
20091209;64,045
20091210;61,66
20091211;61,209
20091214;61,226
20091215;61,235
20091216;61,371
20091217;62,567
20091218;61,792
20091221;62,112
20091222;61,472
20091223;61,868
20091224;63,544
20091229;65,119
20091230;65,388
20091231;65,717
20100104;65,632
20100105;67,477
20100106;67,873
20100107;68,967
20100108;68,647
20100111;68,53
20100112;68,193
20100113;66,786
20100114;65,941
20100115;65,732
20100118;64,511
20100119;64,502
20100120;64,946
20100121;63,85
20100122;62,394
20100125;60,93
20100126;61,649
20100127;61,315
20100128;60,436
20100129;60,344
20100201;59,784
20100202;61,164
20100203;63,632
20100204;63,515
20100205;60,344
20100208;58,219
20100209;58,654
20100210;60,344
20100211;60,718
20100212;61,548
20100215;60,535
20100216;60,211
20100217;62,844
20100218;63,334
20100219;64,588
20100222;64,928
20100223;65,277
20100224;64,147
20100225;64,845
20100226;63,35
20100301;64,43
20100302;63,849
20100303;64,92
20100304;65,808
20100305;65,219
20100308;66,34
20100309;66,821
20100310;66,356
20100311;66,895
20100312;66,878
20100315;66,207
20100316;65,106
20100317;66,679
20100318;67,863
20100319;67,466
20100322;66,141
20100323;66,688
20100324;66,82
20100325;65,926
20100326;65,917
20100329;65,653
20100330;67,209
20100331;67,3
20100401;68,476
20100406;71,109
20100407;71,333
20100408;70,869
20100409;70,223
20100412;70,24
20100413;70,19
20100414;70,149
20100415;71,189
20100416;71,754
20100419;70,444
20100420;69,002
20100421;69,469
20100422;70,206
20100423;70,181
20100426;71,476
20100427;71,132
20100428;70,271
20100429;70,583
20100430;71,189
20100503;71,631
20100504;72,86
20100505;70,181
20100506;67,675
20100507;65,397
20100510;64,119
20100511;65,635
20100512;65,938
20100513;66,544
20100514;65,76
20100517;62,934
20100518;60,648
20100519;60,107
20100520;59,51
20100521;58,016
20100524;57,886
20100525;57,475
20100526;56,166
20100527;57,935
20100528;60,293
20100531;59,776
20100601;60,285
20100602;58,718
20100603;59,558
20100604;60,899
20100607;58,218
20100608;58,242
20100609;58,387
20100610;59,947
20100611;60,835
20100614;60,099
20100615;60,515
20100616;61,666
20100617;62,498
20100618;62,93
20100621;62,562
20100622;63,042
20100623;62,418
20100624;61,003
20100625;61,163
20100628;62,482
20100629;62,058
20100630;60,339
20100701;59,995
20100702;57,859
20100705;57,307
20100706;57,163
20100707;57,147
20100708;58,795
20100709;59,755
20100712;60,323
20100713;59,483
20100714;61,306
20100715;61,251
20100716;60,795
20100719;60,22
20100720;60,42
20100721;60,899
20100722;60,22
20100723;62,177
20100726;61,882
20100727;61,922
20100728;60,827
20100729;60,771
20100730;61,994
20100802;62,465
20100803;64,574
20100804;66,06
20100805;65,677
20100806;65,206
20100809;64,047
20100810;64,71
20100811;63,6
20100812;62,019
20100813;60,28
20100816;59,978
20100817;60,065
20100818;61,098
20100819;60,733
20100820;59,803
20100823;58,977
20100824;58,469
20100825;57,484
20100826;58,358
20100827;59,581
20100830;60,875
20100831;60,836
20100901;59,279
20100902;60,637
20100903;61,098
20100906;60,891
20100907;61,05
20100908;61,741
20100909;62,083
20100910;61,527
20100913;62,075
20100914;62,766
20100915;62,869
20100916;62,988
20100917;62,242
20100920;62,028
20100921;62,909
20100922;62,195
20100923;61,822
20100924;61,949
20100927;62,552
20100928;62,314
20100929;62,425
20100930;64,059
20101001;65,28
20101004;66,422
20101005;66,049
20101006;67,286
20101007;67,461
20101008;66,168
20101011;66,644
20101012;66,398
20101013;66,224
20101014;66,99
20101015;66,476
20101018;65,095
20101019;66,611
20101020;64,029
20101021;66,003
20101022;64,605
20101025;65,497
20101026;65,955
20101027;66,05
20101028;65,711
20101029;65,995
20101101;65,647
20101102;66,808
20101103;67,432
20101104;68,197
20101105;69,476
20101108;69,563
20101109;69,84
20101110;69,737
20101111;70,233
20101112;70,186
20101115;68,162
20101116;68,343
20101117;66,744
20101118;65,601
20101119;66,996
20101122;66,436
20101123;66,137
20101124;65,578
20101125;67,618
20101126;67,823
20101129;67,413
20101130;68,8
20101201;67,681
20101202;70,005
20101203;71,438
20101206;72,014
20101207;72,037
20101208;71,99
20101209;71,502
20101210;71,675
20101213;71,273
20101214;71,832
20101215;71,848
20101216;72,438
20101217;72,005
20101220;72,06
20101221;72,901
20101222;73,263
20101223;73,617
20101224;74,088
20101229;74,191
20101230;74,002
20110103;74,481
20110104;74,552
20110105;73,522
20110106;75,071
20110107;74,301
20110110;73,365
20110111;75,228
20110112;76,73
20110113;77,014
20110114;76,793
20110117;77,653
20110118;76,903
20110119;77,195
20110120;77,48
20110121;76,232
20110124;77,038
20110125;76,256
20110126;75,183
20110127;77,282
20110128;76,872
20110131;78,474
20110201;79,729
20110202;80,305
20110203;80,779
20110204;80,321
20110207;78,798
20110208;78,34
20110209;78,869
20110210;80,281
20110211;79,591
20110214;79,198
20110215;80,877
20110216;79,748
20110217;81,427
20110218;80,493
20110221;80,438
20110222;82,964
20110223;82,996
20110224;87,288
20110225;87,374
20110228;87,986
20110301;87,719
20110302;90,559
20110303;91,289
20110304;90,065
20110307;90,991
20110308;90,261
20110309;88,708
20110310;90,967
20110311;90,567
20110314;89,32
20110315;89,186
20110316;85,146
20110317;86,722
20110318;90,093
20110321;89,333
20110322;90,14
20110323;90,721
20110324;90,603
20110325;90,736
20110328;90,634
20110329;90,015
20110330;90,297
20110331;90,274
20110401;92,022
20110404;93,073
20110405;94,923
20110406;95,833
20110407;95,896
20110408;96,186
20110411;99,306
20110412;97,213
20110413;94,814
20110414;96,309
20110415;96,05
20110418;97,191
20110419;95,743
20110420;95,522
20110421;97,506
20110426;97,357
20110427;97,734
20110428;98,514
20110429;98,427
20110502;99,112
20110503;98,506
20110504;96,404
20110505;95,412
20110506;87,232
20110509;85,917
20110510;91,247
20110511;92,609
20110512;88,552
20110513;88,844
20110516;89,596
20110517;87,666
20110518;86,994
20110519;88,821
20110520;88,125
20110523;88,892
20110524;87,081
20110525;89,003
20110526;90,901
20110527;90,996
20110530;90,98
20110531;90,703
20110601;92,324
20110602;90,584
20110603;91,383
20110606;91,621
20110607;90,545
20110608;92,364
20110609;93,21
20110610;94,512
20110613;93,909
20110614;93,964
20110615;94,702
20110616;89,671
20110617;90,473
20110620;89,83
20110621;88,624
20110622;88,037
20110623;90,624
20110624;85,109
20110627;83,411
20110628;84,101
20110629;86,315
20110630;89,187
20110701;89,251
20110704;88,687
20110705;88,386
20110706;90,147
20110707;90,155
20110708;94,099
20110711;93,893
20110712;93,028
20110713;93,432
20110714;94,16
20110715;92,889
20110718;93,688
20110719;92,721
20110720;93,528
20110721;94,399
20110722;93,888
20110725;94,815
20110726;94,231
20110727;94,503
20110728;93,824
20110729;93,768
20110801;93,273
20110802;93,329
20110803;93,049
20110804;90,468
20110805;85,69
20110808;87,384
20110809;82,886
20110810;81,951
20110811;85,229
20110812;86,188
20110815;86,14
20110816;87,803
20110817;87,235
20110818;88,41
20110819;85,524
20110822;86,827
20110823;86,619
20110824;87,379
20110825;88,05
20110826;88,426
20110829;89,018
20110830;89,433
20110831;91,144
20110901;91,807
20110902;91,36
20110905;89,793
20110906;87,994
20110907;90,241
20110908;92,567
20110909;91,568
20110912;90,145
20110913;89,729
20110914;89,441
20110915;89,343
