Date;Carbon F
20090724;16,698
20090727;16,488
20090728;16,103
20090729;15,881
20090730;16,033
20090731;15,998
20090803;16,814
20090804;17,048
20090805;16,733
20090806;16,744
20090807;16,709
20090810;16,569
20090811;16,546
20090812;16,756
20090813;16,744
20090814;16,791
20090817;16,919
20090818;17,246
20090819;17,421
20090820;17,666
20090821;17,97
20090824;17,76
20090825;17,748
20090826;17,748
20090827;17,701
20090828;17,736
20090831;17,421
20090901;17,258
20090902;17,573
20090903;17,935
20090904;17,748
20090907;17,888
20090908;18,028
20090909;17,69
20090910;17,608
20090911;17,001
20090914;16,219
20090915;16,663
20090916;16,418
20090917;15,893
20090918;15,928
20090921;16,301
20090922;16,033
20090923;15,566
20090924;14,924
20090925;15,286
20090928;15,764
20090929;15,286
20090930;15,589
20091001;15,426
20091002;15,227
20091005;15,309
20091006;16,021
20091007;15,881
20091008;15,659
20091009;16,079
20091012;16,663
20091013;16,709
20091014;16,849
20091015;16,593
20091016;16,499
20091019;16,849
20091020;17,013
20091021;17,468
20091022;16,873
20091023;16,791
20091026;16,733
20091027;16,639
20091028;16,616
20091029;17,211
20091030;16,966
20091102;16,966
20091103;16,791
20091104;16,756
20091105;16,768
20091106;16,301
20091109;16,184
20091110;16,009
20091111;15,776
20091112;15,531
20091113;15,648
20091116;16,033
20091117;15,578
20091118;15,753
20091119;15,624
20091120;15,251
20091123;15,286
20091124;14,737
20091125;15,029
20091126;15,087
20091127;15,379
20091130;15,333
20091201;15,741
20091202;15,834
20091203;16,161
20091204;16,476
20091207;17,27
20091208;16,476
20091209;16,568
20091210;16,557
20091211;16,764
20091214;16,81
20091215;16,81
20091216;16,522
20091217;15,659
20091218;15,625
20091221;14,324
20091222;14,624
20091223;14,957
20091224;14,658
20091229;14,566
20091230;14,612
20091231;14,417
20100104;15,061
20100105;14,612
20100106;14,278
20100107;14,647
20100108;14,957
20100111;15,164
20100112;14,808
20100113;15,061
20100114;15,648
20100115;15,348
20100118;15,774
20100119;15,889
20100120;15,383
20100121;15,245
20100122;15,107
20100125;15,475
20100126;15,659
20100127;15,418
20100128;15,118
20100129;14,796
20100201;14,635
20100202;14,658
20100203;14,67
20100204;15,21
20100205;15,268
20100208;15,82
20100209;15,59
20100210;15,256
20100211;15,176
20100212;14,9
20100215;15,107
20100216;15,314
20100217;14,854
20100218;14,911
20100219;14,405
20100222;14,704
20100223;14,647
20100224;15,026
20100225;14,842
20100226;14,957
20100301;15,337
20100302;15,302
20100303;15,579
20100304;15,095
20100305;15,302
20100308;15,072
20100309;15,107
20100310;15,222
20100311;14,946
20100312;14,842
20100315;15,061
20100316;14,934
20100317;15,003
20100318;15,084
20100319;15,095
20100322;15,118
20100323;14,865
20100324;14,704
20100325;14,566
20100326;14,865
20100329;14,693
20100330;14,773
20100331;14,762
20100401;15,061
20100406;15,464
20100407;15,567
20100408;15,602
20100409;15,763
20100412;15,774
20100413;15,763
20100414;16,361
20100415;16,28
20100416;16,591
20100419;16,752
20100420;16,925
20100421;16,867
20100422;16,867
20100423;17,201
20100426;17,937
20100427;17,546
20100428;17,235
20100429;17,661
20100430;18,34
20100503;19,007
20100504;18,317
20100505;18,409
20100506;18,628
20100507;17,88
