;Returns;Returns;;
Date;Front December;1 month;2 months;3 months
20080102;2,250260403;4,163572835;3,955080063;2,890406629
20080103;2,669120999;-0,245599796;-0,144493781;0,479147165
20080104;0,042471863;-0,833381026;-0,902636206;-0,11957173
20080107;0,466003809;-2,510854782;-2,362231532;-1,932851739
20080108;0,168918959;1,210987262;1,124799635;0,740212185
20080109;-1,188468997;-1,232178193;-1,60616121;-2,012408787
20080110;-1,332493388;-2,304619925;-2,069300856;-1,27721431
20080111;0;-1,25485852;-1,100726579;-0,719222234
20080114;1,289785722;2,011046632;1,90753427;1,670208683
20080115;-1,030494306;-2,109920576;-1,863271792;-1,270002329
20080116;-1,829319305;-1,464090039;-1,437430733;-0,83653728
20080117;-2,312241742;-0,841519693;-0,879275195;-0,739204105
20080118;0,224668708;0,539387756;0,316527508;0,081117103
20080121;-6,681519817;-1,946423336;-1,787897081;-1,047983508
20080122;-2,576084129;1,068434806;1,006067706;0,769593351
20080123;-1,388222591;-2,090668482;-2,173373651;-1,745899406
20080124;-1,357145736;2,789184166;2,706587235;2,047453798
20080125;6,276569555;2,033742374;2,115947961;1,983668782
20080128;-1,871006846;0,526663495;0,519309493;0,723985063
20080129;0,241838086;0,676194091;0,538551612;0,180180229
20080130;-3,040940545;0,574433921;0,655525127;0,706320555
20080131;-5,003595977;-0,346433171;-0,250776995;0,089335573
20080201;0,626306849;-3,050057514;-2,924444118;-2,143583882
20080204;-0,156209352;1,145029463;1,184503736;0,930767219
20080205;-1,840704087;-1,840645417;-1,861248931;-1,824243953
20080206;5,824887828;-1,17781656;-1,103851891;-0,843496826
20080207;2,326261791;0,828185572;0,888590946;1,004453403
20080208;-0,244918075;3,80206504;3,718148683;3,03224951
20080211;-1,134414138;1,714605007;1,615123723;1,328481843
20080212;-0,946929578;-0,718925785;-0,744701515;-0,52927679
20080213;-0,20050132;0,507040301;0,497083366;0,43025054
20080214;3,887328317;2,371316387;2,343774059;2,059232757
20080215;0,72133037;-0,558513491;-0,527872847;-0,421462773
20080218;0,287081537;0,295452362;0,295952018;0,21635664
20080219;3,335991752;3,773642564;3,718901802;2,718282807
20080220;-0,649051884;-0,142146435;-0,091561123;0,252074495
20080221;0,925932541;-2,239896377;-2,150177996;-1,383703091
20080222;-1,018999091;0,796899431;0,776924196;0,667835206
20080225;0,510797489;0,698513369;0,647983754;0,600412611
20080226;-1,117850485;1,80568915;1,727860854;1,676685986
20080227;-0,422436676;-1,213729879;-1,165573425;-0,611179196
20080228;-0,471476592;2,641113499;2,596241617;2,766853413
20080229;0,706383912;-0,796024104;-0,827893612;-0,71001414
20080303;-2,03846831;0,37890164;0,369907945;0,406339446
20080304;-1,010838932;-2,990121755;-2,967456585;-2,89010705
20080305;2,720282268;4,137967328;4,039427148;3,325088263
20080306;0,51655433;0,949823542;0,835673152;0,433097318
20080307;0,140416592;-0,224401284;-0,362905602;-1,61089548
20080310;1,301133598;1,723679743;1,666299211;0,468719016
20080311;0,919124118;1,04102941;0,980871409;1,212503488
20080312;0,410865677;0,934942891;1,071180327;1,53481187
20080313;2,696792643;1,076700995;1,012328386;1,277533098
20080314;-1,519242804;-0,235128253;-0,199743254;-0,666211928
20080317;-3,575082842;-4,280528449;-4,071092131;-3,429821765
20080318;1,067543209;3,676068731;0;0
20080319;-0,462749553;-4,69351219;-0,876499635;-0,448614129
20080320;1,883814036;-0,338140551;-0,411007546;-0,645858004
20080325;2,561362222;0,738305259;0,764206836;0,853431739
20080326;-0,133185369;3,314248301;3,203664644;2,547393381
20080327;-1,116830907;0,966560949;0,99426467;0,874496282
20080328;-2,271792386;-1,178343854;-1,159321264;-1,234460674
20080331;2,316705928;-3,401121665;-3,319478934;-2,927335766
20080401;1,1163322;-0,129695234;-0,291736035;-0,278882585
20080402;3,91865549;3,511541649;3,601497268;3,406358516
20080403;0,213265169;-1,192625761;-1,192701596;-1,581976667
20080404;-0,684055682;2,294961391;2,448150244;2,537112771
20080407;2,164311088;2,112887505;2,145719843;2,009576032
20080408;-1,309970138;-0,749488238;-0,801626399;-0,623054975
20080409;0,762715562;2,02290748;2,015346834;1,444593448
20080410;3,116811613;-0,26798519;-0,23226656;-0,009626029
20080411;-0,245801025;0,406316932;0,371367988;0,614205386
20080414;2,511270082;0,981254148;0,940792772;0,762489398
20080415;0,558437829;1,808694631;1,86445308;1,79727256
20080416;-1,361654999;0,963261105;1,084385766;1,149757682
20080417;-0,444534981;-0,20436277;-0,107018649;0,202615652
20080418;-0,731710582;1,31656419;1,267916086;1,079805514
20080421;2,895256511;0,446683467;0,351803353;0,553666039
20080422;0,435041224;1,319578137;1,239000232;1,134023493
20080423;-1,350835002;0,438880271;0,424004443;0,508816094
20080424;-1,979462733;-1,837140057;-1,970764864;-2,15100765
20080425;0,934016942;1,734047265;1,676748741;1,292556523
20080428;-0,445615483;0,343230129;0,311284298;0,349635033
20080429;-1,802588751;-2,87633332;-2,659591629;-2,12552659
20080430;-1,28980361;-1,841770998;-1,816198435;-1,640589792
20080502;-1,349092974;3,608318225;0;0
20080505;3,912275877;2,95011719;6,612234939;6,488909082
20080506;3,252645701;1,947186993;1,862910535;1,806231807
20080507;-1,112446911;1,656881658;1,681129402;1,926250643
20080508;-0,480577617;0,424213395;0,638509046;1,099788611
20080509;1,038347987;2,062593263;2,394599845;2,864157596
20080512;0,870258657;-2,005624797;-1,614298397;-1,043970007
20080513;-1,388084948;0,963531198;1,119129268;0,946559495
20080514;-2,343541597;-1,356500413;-1,167720134;-0,162562013
20080515;0,895406878;-0,309396111;-0,373316454;-0,554695932
20080516;0,847291734;1,906204233;1,876741483;2,264552897
20080519;1,673345818;0,055988804;0,239101094;1,563089705
20080520;0,197355501;2,198585988;2,328980169;3,27593471
20080521;1,448449672;3,731145932;3,665091849;3,2531725
20080522;1,27439454;-1,664108916;-1,976214229;-3,291274996
20080523;0,191681101;0,80891772;0,830069877;0,433510205
20080526;1,028776458;0,606200235;0,514373297;0,348485201
20080527;-0,151745097;-3,115182082;-3,142261744;-2,341346432
20080528;-0,57110378;2,021361833;1,881900363;0,824953601
20080529;1,515754674;-3,134225983;-3,064511945;-2,401141039
20080530;-1,859989093;0,698946577;0,683078854;0,141464972
20080602;0,915338199;0,187646654;0,468384931;1,132338052
20080603;2,955143036;-2,723842189;-2,587711446;-1,841672679
20080604;-1,972891088;-2,010769871;-2,042782269;-1,771511377
20080605;-0,60332008;4,358965977;4,349726099;3,597652487
20080606;4,076147832;7,657474057;7,570775399;6,385387396
20080609;-0,181719112;-2,783684895;-2,767656925;-2,336744366
20080610;-1,060532888;-2,18179492;-1,977136383;-1,079794535
20080611;0,44020614;3,343095986;3,620906866;3,794693667
20080612;-0,587373201;0,723925504;0,557265781;0,506806761
20080613;-0,590843669;-1,571481892;-1,417329391;-1,176826018
20080616;0,480326067;-0,296494176;0,204753271;0,648241463
20080617;0,404635461;-0,737625816;-0,747913737;-0,611711782
20080618;0,949952339;2,0136896;1,57725066;1,118628647
20080619;0,507799423;-3,308303496;-3,269564483;-2,931901591
