Reporting starts,Reporting ends,Ad name,Reach,Impressions,Link clicks,Post engagement,Starts,Ends
2020-08-19,2020-08-19,MFS Below 300+ Motion - Engagement,12164,14949,311,11507,2020-08-10,2020-08-31
2020-08-19,2020-08-19,MFS Below 100-300 Motion - Engagement,47112,58383,1307,43613,2020-08-10,2020-08-31
2020-08-19,2020-08-19,MFS Below 100 Motion - Reach,48976,49774,122,3097,2020-08-10,2020-08-31
2020-08-19,2020-08-19,MFS Below 100 Carousel - Reach,143811,145148,398,762,2020-08-10,2020-08-31
2020-08-18,2020-08-18,MFS Below 300+ Motion - Engagement,14753,18270,284,12766,2020-08-10,2020-08-31
2020-08-18,2020-08-18,MFS Below 100-300 Motion - Engagement,56386,73063,1430,48122,2020-08-10,2020-08-31
2020-08-18,2020-08-18,MFS Below 100 Motion - Reach,57570,57665,119,3564,2020-08-10,2020-08-31
2020-08-18,2020-08-18,MFS Below 100 Carousel - Reach,148006,149454,409,772,2020-08-10,2020-08-31
2020-08-17,2020-08-17,MFS Below 300+ Motion - Engagement,14456,17822,360,13875,2020-08-10,2020-08-31
2020-08-17,2020-08-17,MFS Below 100-300 Motion - Engagement,55566,72686,1613,51972,2020-08-10,2020-08-31
2020-08-17,2020-08-17,MFS Below 100 Motion - Reach,80368,82666,189,4846,2020-08-10,2020-08-31
2020-08-17,2020-08-17,MFS Below 100 Carousel - Reach,145762,146705,355,684,2020-08-10,2020-08-31
2020-08-16,2020-08-16,MFS Below 300+ Motion - Engagement,15172,19780,422,15136,2020-08-10,2020-08-31
2020-08-16,2020-08-16,MFS Below 100-300 Motion - Engagement,58928,78310,1666,55423,2020-08-10,2020-08-31
2020-08-16,2020-08-16,MFS Below 100 Motion - Reach,83808,85652,151,4497,2020-08-10,2020-08-31
2020-08-16,2020-08-16,MFS Below 100 Carousel - Reach,166784,170500,370,702,2020-08-10,2020-08-31
2020-08-15,2020-08-15,MFS Below 300+ Motion - Engagement,15938,20417,329,12975,2020-08-10,2020-08-31
2020-08-15,2020-08-15,MFS Below 100-300 Motion - Engagement,59788,80097,1470,47629,2020-08-10,2020-08-31
2020-08-15,2020-08-15,MFS Below 100 Motion - Reach,83056,84232,129,3923,2020-08-10,2020-08-31
2020-08-15,2020-08-15,MFS Below 100 Carousel - Reach,214261,217411,482,818,2020-08-10,2020-08-31
2020-08-14,2020-08-14,MFS Below 300+ Motion - Engagement,14872,18503,364,13492,2020-08-10,2020-08-31
2020-08-14,2020-08-14,MFS Below 100-300 Motion - Engagement,54576,71974,1444,49474,2020-08-10,2020-08-31
